part,annual_units,current_unit_usd,annual_spend_usd,list_plus7_unit_usd,lta_ask_unit_usd,delta_at_ask_usd
Chamber liner CL-84,120,1450,174000,1551.50,1479.00,3480
Edge ring ER-22,310,440,136400,470.80,448.80,2728
Focus ring FR-9,240,395,94800,422.65,402.90,1896
ESC assembly repair kit,18,4900,88200,5243.00,4998.00,1764
Gas distribution plate,26,3100,80600,3317.00,3162.00,1612
Turbo pump rebuild,14,5250,73500,5617.50,5355.00,1470
RF match capacitor set,52,980,50960,1048.60,999.60,1019
Slit valve door seal kit,190,210,39900,224.70,214.20,798
Lift pin set,410,68,27880,72.76,69.36,558
Viewport assembly,33,760,25080,813.20,775.20,502
Top-10 subtotal,,,791320,,,15827
Catalog tail (at list +7%),,,68680,,,4808
Total,,,860000,,,20635
